group,year,value
Other developing countries,2012,0
Protracted crisis response countries,2012,0
Other developing countries,2013,7
Protracted crisis response countries,2013,12
Other developing countries,2014,25
Protracted crisis response countries,2014,98
Other developing countries,2015,35
Protracted crisis response countries,2015,153
Other developing countries,2016,22
Protracted crisis response countries,2016,251
Other developing countries,2017,40
Protracted crisis response countries,2017,394
